,1A_1h,1A_2h,1A_4h,1A_6h,1A_8h,1A_20h,1A_Homog,1B_1h,1B_2h,1B_4h,1B_6h,1B_8h,1B_20h,1B_Homog,1C_1h,1C_2h,1C_4h,1C_6h,1C_8h,1C_20h,1C_Homog,2A_1h,2A_2h,2A_4h,2A_6h,2A_8h,2A_20h,2A_Homog,2B_1h,2B_2h,2B_4h,2B_6h,2B_8h,2B_20h,2B_Homog,2C_1h,2C_2h,2C_4h,2C_6h,2C_8h,2C_20h,2C_Homog,3A_1h,3A_2h,3A_4h,3A_6h,3A_8h,3A_20h,3A_Homog,3B_1h,3B_2h,3B_4h,3B_6h,3B_8h,3B_20h,3B_Homog,3C_1h,3C_2h,3C_4h,3C_6h,3C_8h,3C_20h,3C_Homog,4A_1h,4A_2h,4A_4h,4A_6h,4A_8h,4A_20h,4A_Homog,4B_1h,4B_2h,4B_4h,4B_6h,4B_8h,4B_20h,4B_Homog,4C_1h,4C_2h,4C_4h,4C_6h,4C_8h,4C_20h,4C_Homog,5A_1h,5A_2h,5A_4h,5A_6h,5A_8h,5A_20h,5A_Homog,5B_1h,5B_2h,5B_4h,5B_6h,5B_8h,5B_20h,5C_1h,5C_2h,5C_4h,5C_6h,5C_8h,5C_20h,5C_Homog
1A_1h,0,0.1219042,0.23934761,0.30445251,0.32719558,0.39330745,0.61004809,0.31208324,0.2853665,0.28802212,0.37797366,0.39322827,0.40017157,0.61254208,0.14256557,0.21112945,0.2998523,0.35706161,0.35072768,0.40130328,0.62377831,0.34124697,0.36083896,0.38042322,0.3952477,0.38881144,0.42257134,0.69399672,0.39134068,0.41543874,0.43389905,0.42717333,0.38145998,0.47079626,0.70991864,0.34139417,0.33284344,0.38632879,0.39931345,0.38146343,0.44251436,0.6930698,0.38471148,0.36013531,0.4127087,0.45963144,0.38369217,0.47811968,0.70424937,0.35215766,0.32321416,0.34070767,0.34547272,0.40272712,0.43997576,0.75839644,0.44676415,0.34575239,0.37468429,0.39203709,0.41630507,0.49591008,0.73316949,0.368238,0.3960808,0.46384259,0.43147796,0.40479138,0.42426999,0.5864593,0.33485943,0.34663144,0.41131962,0.3944112,0.42909106,0.42516248,0.61872693,0.41208657,0.42565167,0.41446867,0.436496,0.42346545,0.43001045,0.56111896,0.50885081,0.54882455,0.58491706,0.54901784,0.61396023,0.64930761,0.69755749,0.37799882,0.43555068,0.53408479,0.50285975,0.49952851,0.55511705,0.42858158,0.50881722,0.46316326,0.54895492,0.48286415,0.59006612,0.67741192
1A_2h,0.1219042,0,0.12935057,0.19387576,0.24676664,0.32633739,0.59923376,0.28687737,0.19819777,0.21797616,0.28471759,0.30990661,0.33501852,0.59597144,0.15563967,0.13485267,0.20295998,0.26398849,0.26445731,0.32110637,0.61324681,0.41182381,0.39194351,0.41580168,0.41217444,0.41871669,0.43972174,0.70028925,0.45388371,0.45461939,0.45283788,0.44975477,0.41136326,0.48082676,0.71621117,0.40368929,0.38129572,0.40852732,0.44077158,0.39965665,0.4614305,0.71395404,0.35490792,0.29370683,0.36653487,0.41025603,0.33431676,0.42898106,0.68637644,0.36724147,0.30590438,0.30522904,0.27964732,0.33330737,0.38055225,0.7268873,0.4025831,0.3117173,0.34377262,0.33042716,0.35177514,0.43882661,0.70685976,0.37753826,0.39480371,0.46086605,0.42476297,0.41024538,0.41503401,0.60246405,0.34980583,0.34680444,0.37624064,0.37942208,0.40478973,0.38974058,0.56836119,0.43016257,0.42685074,0.40567128,0.38756049,0.41590525,0.42245025,0.52905455,0.48884564,0.53281209,0.56460571,0.5266098,0.59364888,0.63885318,0.71004148,0.38276669,0.40625284,0.52363036,0.46110197,0.47497649,0.53947211,0.41385741,0.49254558,0.43424015,0.530419,0.45320921,0.57669378,0.67258929
1A_4h,0.23934761,0.12935057,0,0.08179871,0.14381413,0.22989371,0.51338373,0.30864301,0.19626643,0.19642012,0.21004161,0.23614431,0.24330376,0.51012141,0.22374131,0.13276294,0.14202573,0.19420328,0.19115684,0.24662632,0.5297495,0.47534135,0.42551978,0.43070984,0.41524035,0.40700886,0.38765028,0.61415117,0.4983871,0.46498585,0.45637823,0.43079434,0.40807911,0.43851542,0.63040973,0.46366107,0.42150411,0.40384268,0.43831293,0.39847972,0.41983838,0.63983901,0.35438873,0.27954173,0.35753661,0.372842,0.31510563,0.3869068,0.6234986,0.38211964,0.31165099,0.3150803,0.28476987,0.32020185,0.32390007,0.66400946,0.40803969,0.31280976,0.3475402,0.32718254,0.33444521,0.38472768,0.64398192,0.43631144,0.42528768,0.46062763,0.42259788,0.40993733,0.41200582,0.56928903,0.42094927,0.35055969,0.35741946,0.35784555,0.37108773,0.35599485,0.51190167,0.4901632,0.44511607,0.41759341,0.3985517,0.42805503,0.42133361,0.48808433,0.47902314,0.54521571,0.53769387,0.48928523,0.55588465,0.57265103,0.63853554,0.43990041,0.41088483,0.46723577,0.3916407,0.40277954,0.45138304,0.45709595,0.47948624,0.42511589,0.50065518,0.43214821,0.52045038,0.60652668
1A_6h,0.30445251,0.19387576,0.08179871,0,0.08143854,0.18043778,0.47079865,0.33952382,0.24583711,0.23158082,0.19738007,0.20687731,0.22410812,0.46982938,0.28020365,0.18857556,0.16509048,0.1685655,0.17080762,0.22152735,0.49258589,0.48527886,0.43866772,0.41314759,0.3935696,0.39038388,0.34321801,0.56867113,0.54019621,0.48404784,0.45722555,0.42759303,0.40223943,0.42815557,0.58130491,0.50564807,0.45628062,0.40856519,0.42952653,0.38640446,0.41332511,0.58777551,0.37908182,0.27190902,0.33957945,0.34961561,0.30231121,0.36288269,0.58749704,0.38368367,0.31522717,0.31508295,0.2791995,0.31463148,0.30642416,0.6280079,0.40594252,0.32759485,0.35232197,0.32452642,0.33378194,0.3692977,0.60798036,0.47322454,0.43007538,0.46303898,0.42783761,0.41588879,0.40885432,0.5645522,0.47731925,0.36974527,0.36317439,0.35647774,0.36971992,0.35462704,0.5198604,0.52362167,0.44974892,0.44614694,0.40754312,0.43617975,0.43292073,0.48734832,0.49014003,0.54864581,0.5344921,0.48438424,0.56117911,0.5627227,0.59424617,0.45542532,0.43928742,0.44651785,0.36592507,0.36810498,0.41533792,0.47947326,0.47412118,0.4453818,0.47873686,0.42138389,0.49504747,0.56459427
1A_8h,0.32719558,0.24676664,0.14381413,0.08143854,0,0.15330139,0.42433877,0.37655775,0.25746008,0.26262898,0.21106925,0.20247311,0.21042819,0.42427964,0.29931907,0.21107507,0.20028184,0.1763904,0.16986099,0.18061612,0.45356034,0.51322392,0.48448222,0.46474243,0.4377598,0.44197872,0.35918539,0.57226089,0.58184606,0.52692263,0.4972511,0.46761858,0.44966962,0.45438882,0.57679391,0.52391933,0.47493123,0.44107866,0.4468036,0.41204363,0.42349171,0.55720403,0.42378326,0.31077686,0.35712692,0.36972059,0.33784431,0.36563724,0.5689299,0.42693439,0.34260398,0.32952394,0.29000964,0.32028676,0.30748572,0.60944076,0.41998144,0.3626568,0.39388806,0.35440643,0.36284251,0.37397371,0.58941322,0.50176393,0.46105495,0.50600587,0.43979147,0.42970931,0.41095601,0.55453999,0.52294866,0.40616539,0.39989632,0.38094862,0.3992032,0.37909792,0.5291141,0.55365911,0.47131785,0.48479231,0.42938952,0.46585586,0.47166735,0.46206858,0.48828339,0.52322096,0.50729793,0.47341094,0.5344192,0.53121738,0.55765512,0.47105767,0.43712649,0.44105871,0.37336556,0.35807192,0.38617284,0.48129656,0.47084686,0.44354739,0.4702915,0.42990939,0.46354215,0.53019903
1A_20h,0.39330745,0.32633739,0.22989371,0.18043778,0.15330139,0,0.3110983,0.42259158,0.32240188,0.32742082,0.22814339,0.2097604,0.19775625,0.32880747,0.36271953,0.27854819,0.25141634,0.23701896,0.22402518,0.19595167,0.35051687,0.54962226,0.52433301,0.48863952,0.45002276,0.4584185,0.36826832,0.54606243,0.63468408,0.58058016,0.53731554,0.51014143,0.49542824,0.47670158,0.54661009,0.54598545,0.51919533,0.48470767,0.46560956,0.46057522,0.44495594,0.50763428,0.47289218,0.36516418,0.40754339,0.39066155,0.36281531,0.37056516,0.51369426,0.43269321,0.35241172,0.32265608,0.31974033,0.28818674,0.2650884,0.51910252,0.42226511,0.387857,0.36514906,0.33738986,0.33347845,0.31754664,0.52561449,0.5446434,0.49048223,0.53626323,0.43996494,0.45452513,0.39327975,0.50396751,0.56021665,0.43621746,0.43077767,0.38828889,0.39806178,0.41247442,0.47348473,0.58437837,0.5075831,0.51963342,0.45428546,0.46538308,0.48758648,0.41050868,0.479586,0.53773317,0.51899546,0.43443526,0.51634941,0.4986019,0.48229086,0.49859136,0.46649289,0.42292434,0.38280094,0.35359918,0.34033839,0.49095662,0.46389604,0.4676295,0.48020523,0.4490341,0.43341719,0.4567471
1A_Homog,0.61004809,0.59923376,0.51338373,0.47079865,0.42433877,0.3110983,0,0.53094322,0.45533982,0.49087973,0.3995582,0.36724168,0.31977697,0.09445999,0.56450561,0.51558486,0.50172509,0.49249513,0.47902755,0.43323863,0.09643347,0.60495242,0.58601554,0.55610087,0.54152993,0.52630664,0.4476512,0.34205217,0.61432921,0.59245915,0.54983629,0.52951886,0.51708251,0.46258553,0.33578128,0.58180539,0.58776242,0.5516079,0.53848177,0.54267136,0.52121817,0.28075311,0.58376744,0.51474011,0.53851927,0.5190468,0.54231065,0.50864909,0.30178597,0.58067217,0.52033421,0.50374089,0.51288365,0.46021433,0.425921,0.30640666,0.52059336,0.5260234,0.49268805,0.50099791,0.4848093,0.38077719,0.29530334,0.6380966,0.59845982,0.58957793,0.54387019,0.54725711,0.48939074,0.4121126,0.70045337,0.63481412,0.62401694,0.60648918,0.58899751,0.58426634,0.43279692,0.64253033,0.57745789,0.571266,0.4927546,0.52359284,0.4897308,0.33348588,0.54951452,0.56790177,0.52844738,0.52150311,0.53463007,0.46779818,0.33516065,0.58532838,0.54982195,0.48438871,0.50226255,0.49422607,0.40983685,0.57459353,0.54215242,0.56493534,0.54976785,0.57365422,0.45791179,0.3121284
1B_1h,0.31208324,0.28687737,0.30864301,0.33952382,0.37655775,0.42259158,0.53094322,0,0.17294932,0.19035954,0.26186248,0.29065662,0.34046718,0.50935346,0.23025847,0.26364131,0.31806483,0.35686689,0.3578039,0.39845708,0.54096091,0.38191795,0.42549359,0.45325268,0.46446108,0.47686565,0.49141441,0.6177208,0.44219287,0.49671197,0.50426917,0.49445747,0.47572015,0.55060838,0.63915372,0.41651973,0.42393125,0.48707034,0.53694913,0.4948844,0.56188508,0.6361177,0.3149185,0.29664121,0.36200094,0.39312515,0.32423552,0.4297232,0.58665508,0.34377301,0.35980084,0.38989689,0.36780148,0.41301496,0.46252249,0.64887766,0.40587919,0.35595305,0.36776716,0.40444925,0.40933388,0.4782658,0.58336069,0.4572901,0.45898746,0.53332427,0.4951628,0.48536844,0.50497427,0.54863543,0.40258672,0.39757544,0.44068886,0.44683773,0.44562149,0.45510955,0.56984025,0.44959476,0.42943867,0.43051128,0.45896923,0.45213197,0.43758997,0.52581011,0.44744897,0.50004386,0.53003756,0.52598289,0.57417494,0.59737783,0.64172747,0.30962496,0.33876004,0.49392245,0.48984711,0.49010855,0.52742198,0.37125869,0.4391019,0.41692117,0.51941985,0.4800292,0.58679597,0.60223897
1B_2h,0.2853665,0.19819777,0.19626643,0.24583711,0.25746008,0.32240188,0.45533982,0.17294932,0,0.10450903,0.14907338,0.17006882,0.23067557,0.45189074,0.21851242,0.14777183,0.21412701,0.24728475,0.24198875,0.27319284,0.46718746,0.42116462,0.40852968,0.42055066,0.42554775,0.43889546,0.43713925,0.61118911,0.46240106,0.46575593,0.45113991,0.44198062,0.42698484,0.48271932,0.62983873,0.40541269,0.39877802,0.42008387,0.47066821,0.43189313,0.48365592,0.62079948,0.36225852,0.2645296,0.3357428,0.35219593,0.29045275,0.37830256,0.56852079,0.38143433,0.32297357,0.33947671,0.30053687,0.33080475,0.37091103,0.61154186,0.36441205,0.30077809,0.32735468,0.33525549,0.32766033,0.38028887,0.57374532,0.41135521,0.41927169,0.48352717,0.44242779,0.43404581,0.44987992,0.52434409,0.39694091,0.36618456,0.39240936,0.40255097,0.40015565,0.38923551,0.48689952,0.44186487,0.40097142,0.38070274,0.35097781,0.38984684,0.3725856,0.44150453,0.40949478,0.45533264,0.4593309,0.45254083,0.5064191,0.54486096,0.63878042,0.34796622,0.31547271,0.43801376,0.4109832,0.4115001,0.46212485,0.35328389,0.41560618,0.35722724,0.45313084,0.40187776,0.51590485,0.58621944
1B_4h,0.28802212,0.21797616,0.19642012,0.23158082,0.26262898,0.32742082,0.49087973,0.19035954,0.10450903,0,0.12290057,0.15025324,0.21898016,0.46829883,0.2335677,0.12074,0.22451502,0.25601624,0.2498337,0.28975718,0.48980033,0.42805845,0.39806251,0.41152243,0.40640754,0.42543606,0.41301907,0.60574142,0.48245538,0.46797561,0.44990558,0.43852105,0.40997484,0.46657025,0.62295698,0.41118788,0.4021748,0.40532345,0.44310614,0.40012252,0.45668675,0.62129655,0.3490082,0.29511451,0.31499633,0.32538435,0.27518795,0.34096349,0.52058286,0.36897516,0.35481749,0.36553904,0.32025915,0.34616422,0.37476153,0.62436878,0.40087624,0.32453201,0.33843476,0.34720032,0.35344851,0.39624359,0.60343583,0.40836847,0.41193247,0.45953096,0.4182679,0.41063555,0.42572002,0.50948982,0.39816782,0.34757162,0.36139704,0.36903605,0.36685728,0.35598088,0.50109466,0.45246965,0.40521107,0.38386573,0.40110952,0.39387877,0.36356723,0.48624928,0.40084489,0.47718044,0.46697104,0.45433351,0.51481721,0.5441781,0.612794,0.34866636,0.323199,0.42572778,0.38887368,0.40251911,0.43959361,0.35642264,0.39687296,0.33996228,0.44076358,0.38871388,0.49255314,0.56026947
