,aL1_2,aL1_4,aL1_6,aL1_h,aL2_2,aL2_4,aL2_6,aL3_2,aL3_4,aL3_6,aL3_h,aM1_2,aM1_4,aM1_6,aM1_h,aM2_2,aM2_4,aM2_6,aM2_h,aM3_2,aM3_4,aM3_6,aM3_h,aS1_2,aS1_4,aS1_6,aS1_h,aS2_2,aS2_4,aS2_6,aS2_h,aS3_2,aS3_4,aS3_6,aS3_h,bL1_2,bL1_4,bL1_6,bL1_h,bL2_2,bL2_4,bL2_6,bL2_h,bL3_2,bL3_4,bL3_6,bL3_h,bM1_2,bM1_4,bM1_6,bM1_h,bM2_2,bM2_4,bM2_6,bM2_h,bM3_2,bM3_4,bM3_6,bM3_h,bS1_2,bS1_4,bS1_6,bS1_h,bS2_2,bS2_4,bS2_6,bS2_h,bS3_2,bS3_4,bS3_6,bS3_h
aL1_2,0,0.22397361,0.27421036,0.74427259,0.44968572,0.26868405,0.35346829,0.51225575,0.49787839,0.49377417,0.67119338,0.50854317,0.4708685,0.45367551,0.6867752,0.48689872,0.43495081,0.39740293,0.73263783,0.62256547,0.60361666,0.56425861,0.62148186,0.77721435,0.76527002,0.76639893,0.83211294,0.88590856,0.77721435,0.77721435,0.82071031,0.61742106,0.61725654,0.61783146,0.82101817,0.76409022,0.73567578,0.67610083,0.67248981,0.67508711,0.66402258,0.62843384,0.63675599,0.51719041,0.54453704,0.54395218,0.67752463,0.78983286,0.70143605,0.64502215,0.74302597,0.76000328,0.73216057,0.75077747,0.72489888,0.74677986,0.69671118,0.69284131,0.70947273,0.84760805,0.81717737,0.78109455,0.82491663,0.81049705,0.69943281,0.67204112,0.77563892,0.82451967,0.82481336,0.78101501,0.80601592
aL1_4,0.22397361,0,0.07299675,0.69344244,0.36165551,0.34816745,0.34329823,0.43536578,0.40836992,0.37286608,0.58455647,0.53274473,0.56781754,0.55438969,0.64023629,0.44592904,0.49787171,0.46714607,0.64618653,0.57368974,0.52567483,0.50587044,0.5415971,0.61960342,0.67559019,0.59291543,0.78557403,0.71506262,0.66437948,0.59951588,0.7741714,0.46599998,0.53684716,0.46734963,0.77447926,0.7121757,0.68376125,0.61906938,0.5862039,0.64781207,0.64261845,0.61901455,0.54661436,0.42179761,0.46659521,0.46601035,0.60430512,0.77273303,0.67878658,0.61006086,0.64951954,0.73873416,0.67990871,0.70165981,0.63123926,0.73414052,0.67995314,0.63338746,0.6193311,0.82811295,0.79768226,0.76159944,0.77837771,0.76635667,0.65529243,0.64841302,0.72910001,0.80502456,0.80531825,0.73095811,0.75595902
aL1_6,0.27421036,0.07299675,0,0.65452953,0.3659106,0.36485062,0.31863165,0.37757976,0.3505839,0.31508007,0.54138704,0.53799188,0.57306469,0.55963683,0.60467086,0.43477725,0.50396003,0.47306099,0.6106211,0.55263795,0.49600265,0.50616229,0.51687179,0.59452988,0.65086487,0.58079358,0.7500086,0.70372007,0.63965417,0.591609,0.74117801,0.48114829,0.51462707,0.46159974,0.74016097,0.6648347,0.63642025,0.57207661,0.55708274,0.64746009,0.64226648,0.61866258,0.53241241,0.41040011,0.42259638,0.4163896,0.57731115,0.77931431,0.68501963,0.61746157,0.61229423,0.73756276,0.67873731,0.67658627,0.56977972,0.73547498,0.68245527,0.62986453,0.56450741,0.82694154,0.79651086,0.76042804,0.74608559,0.74448545,0.63342121,0.62604151,0.69353458,0.80385316,0.80550117,0.71535033,0.73495483
aL1_h,0.74427259,0.69344244,0.65452953,0,0.76408881,0.75850675,0.71829277,0.72199394,0.65838103,0.63693584,0.37816059,0.93572237,0.93852674,0.92936181,0.58058651,0.87355955,0.8980815,0.88152539,0.68708905,0.90602181,0.83671614,0.88789443,0.73248287,0.91967815,0.905509,0.90803322,0.56523132,0.93960293,0.91652027,0.91797877,0.62822548,0.90578701,0.9088901,0.91180601,0.51625164,0.54447268,0.49457151,0.47628429,0.32405674,0.8397941,0.85942485,0.8586969,0.34023296,0.70436316,0.67012659,0.69693284,0.29839413,0.90577912,0.89713705,0.8731745,0.63424699,0.88049067,0.87498946,0.90928659,0.63418125,0.93982308,0.9101162,0.8513526,0.55681796,0.9143693,0.90620141,0.88060897,0.53844463,0.91349374,0.91861902,0.9213759,0.59654847,0.92356845,0.92607578,0.90017291,0.55117294
aL2_2,0.44968572,0.36165551,0.3659106,0.76408881,0,0.26442719,0.22339279,0.23683911,0.29096481,0.31356632,0.68528552,0.30760133,0.37019846,0.38431061,0.64501552,0.31477816,0.3928445,0.42605591,0.63486111,0.42439759,0.32840923,0.38902003,0.47678534,0.55071888,0.50609281,0.52047156,0.79322364,0.83030177,0.58854421,0.61593364,0.76103413,0.53700668,0.54215647,0.56009251,0.80375716,0.61228303,0.58503441,0.52609345,0.67114726,0.43344422,0.36287604,0.3049407,0.60472219,0.40612011,0.28926406,0.26049796,0.69040084,0.70983626,0.61692806,0.48521402,0.60449776,0.58129055,0.52544064,0.56027234,0.62381122,0.60913717,0.50204519,0.484374,0.6192437,0.64858136,0.61815068,0.58206786,0.75365015,0.58430029,0.57243278,0.57739794,0.7195713,0.62549298,0.62578667,0.5541141,0.68621782
aL2_4,0.26868405,0.34816745,0.36485062,0.75850675,0.26442719,0,0.1041863,0.37765764,0.34858929,0.3557973,0.64961195,0.29479772,0.25712305,0.2454345,0.66444026,0.4595101,0.4004841,0.37515569,0.63786848,0.48946081,0.42571329,0.34490993,0.4756178,0.62081657,0.58124021,0.58605775,0.78309814,0.84900091,0.66061941,0.67059955,0.74847911,0.65481587,0.65314038,0.66909892,0.8231819,0.60738976,0.58458652,0.53182629,0.64628884,0.48053908,0.47715967,0.47082329,0.57556162,0.41838981,0.38574246,0.37796365,0.66554242,0.76097273,0.66608702,0.56829482,0.61689866,0.60146691,0.54264146,0.55362409,0.62389857,0.60495438,0.55968157,0.52687022,0.64271269,0.6908457,0.66041501,0.64332626,0.7541529,0.64848608,0.64107302,0.64508837,0.73899604,0.66775731,0.66849166,0.62092406,0.6959879
aL2_6,0.35346829,0.34329823,0.31863165,0.71829277,0.22339279,0.1041863,0,0.28642824,0.26051176,0.28553761,0.60266104,0.26056267,0.26535393,0.25233556,0.62793054,0.40094948,0.35511026,0.35026917,0.59646315,0.45850125,0.35836435,0.3158035,0.4334974,0.58751396,0.53949344,0.54193972,0.75892112,0.83530028,0.6273168,0.63729694,0.72673161,0.62735888,0.60998556,0.6259441,0.78667218,0.56412463,0.5378212,0.48506097,0.61651354,0.45355707,0.44583504,0.4286863,0.56669708,0.37404735,0.31171925,0.29695782,0.63576711,0.73532106,0.64043536,0.53755572,0.55601104,0.57931542,0.52048998,0.51862036,0.55501151,0.60731491,0.52767789,0.4760049,0.58118515,0.66869421,0.63826353,0.60641255,0.71934763,0.60078458,0.59337152,0.59738687,0.70268447,0.64560582,0.6512502,0.57850676,0.66165837
aL3_2,0.51225575,0.43536578,0.37757976,0.72199394,0.23683911,0.37765764,0.28642824,0,0.09985688,0.15416958,0.56005949,0.3282734,0.42324509,0.412115,0.549345,0.28551655,0.31552759,0.35316961,0.47353158,0.27017184,0.20771269,0.31719271,0.3497963,0.46847162,0.45430247,0.46720216,0.62861895,0.70242344,0.46531374,0.4880553,0.61280572,0.51691225,0.44875622,0.46667724,0.69831334,0.61875395,0.59296075,0.53539344,0.55503122,0.4623272,0.36515058,0.32751351,0.53122557,0.31657175,0.20983574,0.18270166,0.59812486,0.62894251,0.53702962,0.41707867,0.50139067,0.56818609,0.51233618,0.5065789,0.44348438,0.59808919,0.4904269,0.46068285,0.47206448,0.67432347,0.60677258,0.57230942,0.61672456,0.50404654,0.50082523,0.5168819,0.63235706,0.61818706,0.61996093,0.53836327,0.59281132
aL3_4,0.49787839,0.40836992,0.3505839,0.65838103,0.29096481,0.34858929,0.26051176,0.09985688,0,0.0688498,0.48909862,0.34557973,0.41565298,0.40452289,0.58360245,0.30609839,0.35216085,0.36593812,0.48644437,0.31169043,0.25908038,0.31520619,0.3357764,0.52153578,0.50804124,0.50989085,0.64890234,0.72375347,0.5183779,0.5198364,0.61671283,0.57732436,0.50792506,0.51052332,0.72594469,0.56240094,0.5339865,0.47041404,0.49765868,0.49554864,0.44153448,0.41793058,0.54412586,0.35269215,0.2561984,0.24136925,0.61102514,0.6736893,0.58177641,0.47585863,0.53564813,0.60108527,0.54225982,0.53284377,0.46501104,0.62475465,0.54110012,0.49197494,0.45545639,0.70754491,0.66003338,0.6316749,0.64666538,0.56068143,0.55746012,0.57123912,0.66661451,0.66955995,0.67133383,0.59584085,0.62706877
aL3_6,0.49377417,0.37286608,0.31508007,0.63693584,0.31356632,0.3557973,0.28553761,0.15416958,0.0688498,0,0.49106424,0.39599726,0.44611016,0.43268216,0.58465085,0.34486145,0.37589876,0.37990169,0.49542398,0.35146025,0.30211692,0.32712742,0.36637948,0.52619111,0.51202196,0.51454618,0.65363242,0.69503676,0.52303323,0.52449174,0.62340885,0.57678874,0.51364114,0.51655705,0.72137643,0.53940298,0.51295065,0.45538334,0.47807099,0.52674446,0.49147302,0.46786912,0.54964962,0.38464434,0.2950942,0.28971507,0.61654891,0.69767424,0.60576134,0.49984357,0.53669653,0.63201382,0.57318838,0.55463761,0.46256756,0.63010404,0.57208012,0.52295494,0.45088813,0.73874074,0.69096193,0.66047867,0.6480505,0.59991312,0.59561368,0.60221911,0.66766291,0.69916155,0.70093543,0.62331767,0.63482243
