Sample_ID,1A_1h,1A_2h,1A_4h,1A_6h,1A_8h,1A_20h,1A_Homog,1B_1h,1B_2h,1B_4h,1B_6h,1B_8h,1B_20h,1B_Homog,1C_1h,1C_2h,1C_4h,1C_6h,1C_8h,1C_20h,1C_Homog,2A_1h,2A_2h,2A_4h,2A_6h,2A_8h,2A_20h,2A_Homog,2B_1h,2B_2h,2B_4h,2B_6h,2B_8h,2B_20h,2B_Homog,2C_1h,2C_2h,2C_4h,2C_6h,2C_8h,2C_20h,2C_Homog,3A_1h,3A_2h,3A_4h,3A_6h,3A_8h,3A_20h,3A_Homog,3B_1h,3B_2h,3B_4h,3B_6h,3B_8h,3B_20h,3B_Homog,3C_1h,3C_2h,3C_4h,3C_6h,3C_8h,3C_20h,3C_Homog,4A_1h,4A_2h,4A_4h,4A_6h,4A_8h,4A_20h,4A_Homog,4B_1h,4B_2h,4B_4h,4B_6h,4B_8h,4B_20h,4B_Homog,4C_1h,4C_2h,4C_4h,4C_6h,4C_8h,4C_20h,4C_Homog,5A_1h,5A_2h,5A_4h,5A_6h,5A_8h,5A_20h,5A_Homog,5B_1h,5B_2h,5B_4h,5B_6h,5B_8h,5B_20h,5C_1h,5C_2h,5C_4h,5C_6h,5C_8h,5C_20h,5C_Homog
Community,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Replicate,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,1C,1C,1C,1C,1C,1C,2A,2A,2A,2A,2A,2A,2A,2B,2B,2B,2B,2B,2B,2B,2C,2C,2C,2C,2C,2C,2C,3A,3A,3A,3A,3A,3A,3A,3B,3B,3B,3B,3B,3B,3B,3C,3C,3C,3C,3C,3C,3C,4A,4A,4A,4A,4A,4A,4A,4B,4B,4B,4B,4B,4B,4B,4C,4C,4C,4C,4C,4C,4C,5A,5A,5A,5A,5A,5A,5A,5B,5B,5B,5B,5B,5B,5C,5C,5C,5C,5C,5C,5C
Treatment,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,Homog,1h,2h,4h,6h,8h,20h,1h,2h,4h,6h,8h,20h,Homog
Acheta_domesticus,9,25,71,76,26,49,398,1,71,31,60,48,73,157,103,498,311,683,606,983,439,105,269,661,902,1021,1601,1257,276,436,1072,905,686,1306,634,733,822,845,875,1189,1354,739,121,162,88,86,140,83,296,28,53,23,35,35,33,102,14,129,266,209,112,182,269,113,426,315,362,851,829,334,3,36,37,159,106,98,84,62,128,190,510,195,154,251,318,465,494,531,286,453,498,81,480,322,428,679,378,273,426,844,454,347,663,845
Aphidius_colemani,77,332,185,223,81,32,26,60,175,64,59,62,23,21,71,213,110,117,84,42,23,258,232,238,232,229,156,76,354,252,454,281,199,125,29,1440,956,731,581,644,407,47,139,155,67,43,36,23,1,39,84,96,134,94,39,0,8,58,100,38,17,11,0,816,1303,535,526,1042,602,186,675,963,680,1128,926,728,247,451,537,615,1295,572,263,340,2,11,11,8,7,2,0,21,48,17,11,14,8,5,11,9,10,7,3,3
Aphidius_ervi,64,200,102,79,30,13,3,30,50,22,9,13,13,1,71,194,94,52,46,17,4,7,7,10,2,3,5,0,16,10,8,5,6,2,0,12,7,2,2,4,1,1,50,31,12,16,26,10,2,133,195,144,143,104,48,0,69,258,382,177,75,29,1,4,4,0,0,1,1,0,25,10,2,7,6,5,1,4,7,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphidoletes_aphidimyza,17,47,10,5,2,1,0,18,29,8,5,9,7,0,31,21,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,38,11,4,18,4,0,95,93,39,31,22,11,0,74,79,118,34,15,10,0,2,2,0,0,0,0,0,6,1,0,1,1,0,0,1,0,0,0,1,0,0,21,5,1,1,1,0,0,7,10,1,0,1,2,8,3,5,0,2,0,0
Blaptica_dubia,14,42,41,31,32,88,487,97,405,288,386,465,502,441,13,39,5,15,13,147,650,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,58,41,35,49,46,259,97,94,61,82,114,118,342,33,86,280,156,115,310,293,18,22,2,13,30,20,774,36,47,27,68,70,73,819,10,18,14,84,30,68,253,147,52,56,50,21,65,517,27,94,46,35,81,156,123,256,282,110,80,149,1405
Calliphora_vomitoria,1140,3992,2737,3743,2696,2347,1147,643,1744,405,461,504,495,402,1566,3557,1476,2224,1932,2090,671,3682,2461,2661,3175,3533,4392,1440,2569,2918,5383,4555,3057,4368,821,460,1224,1807,2084,2867,2972,826,9309,7398,5769,6732,7797,5552,1241,2327,2975,2403,3628,3443,3242,141,426,1642,3966,2756,1641,2648,408,5567,8959,4210,4343,10060,8119,2556,4670,4935,4611,9435,6638,5818,3060,4576,3667,4552,12254,5365,3183,4014,5448,4185,4436,3512,2456,2618,1360,747,3747,2015,3239,4654,1912,549,1698,3475,2281,1984,2775,2133
Dacnusa_sibirica,16,45,11,7,1,6,0,6,23,14,9,4,3,0,16,19,6,5,5,2,0,27,32,24,11,24,19,2,64,26,15,7,18,12,0,41,62,22,27,27,18,0,1,4,0,0,6,0,0,4,2,0,0,0,0,0,1,13,19,3,3,1,0,77,68,17,12,63,24,3,39,41,8,32,10,10,6,68,21,25,39,18,16,4,2,0,0,1,0,0,0,6,7,3,3,3,0,20,8,14,3,5,0,0
