"Community" "Species" "Specimens"
"1" "E.0" "Shelfordella_lateralis" 1
"2" "E.0" "Gryllus_bimaculatus" 1
"3" "E.0" "Gryllodes_sigillatus" 1
"4" "E.0" "Drosophila_yakuba" 1
"5" "E.0" "Drosophila_hydei" 1
"6" "E.0" "Hermetia_illucens" 0
"7" "E.0" "Stick_insect" 0
"8" "E.0" "Cryptolemus_mantrouzieri" 0
"9" "E.0" "Dacnusa_sibirica" 0
"10" "E.0" "Drosophila_melanogaster" 0
"11" "E.0" "Aphidoletes_aphidimyza" 0
"12" "E.0" "Encarsia_formosa" 0
"13" "E.1" "Shelfordella_lateralis" 1
"14" "E.1" "Gryllus_bimaculatus" 1
"15" "E.1" "Gryllodes_sigillatus" 1
"16" "E.1" "Drosophila_yakuba" 1
"17" "E.1" "Drosophila_hydei" 1
"18" "E.1" "Hermetia_illucens" 0
"19" "E.1" "Stick_insect" 0
"20" "E.1" "Cryptolemus_mantrouzieri" 1
"21" "E.1" "Dacnusa_sibirica" 0
"22" "E.1" "Drosophila_melanogaster" 0
"23" "E.1" "Aphidoletes_aphidimyza" 0
"24" "E.1" "Encarsia_formosa" 0
"25" "E.2" "Shelfordella_lateralis" 1
"26" "E.2" "Gryllus_bimaculatus" 1
"27" "E.2" "Gryllodes_sigillatus" 1
"28" "E.2" "Drosophila_yakuba" 1
"29" "E.2" "Drosophila_hydei" 1
"30" "E.2" "Hermetia_illucens" 0
"31" "E.2" "Stick_insect" 0
"32" "E.2" "Cryptolemus_mantrouzieri" 0
"33" "E.2" "Dacnusa_sibirica" 1
"34" "E.2" "Drosophila_melanogaster" 0
"35" "E.2" "Aphidoletes_aphidimyza" 0
"36" "E.2" "Encarsia_formosa" 0
"37" "E.3" "Shelfordella_lateralis" 1
"38" "E.3" "Gryllus_bimaculatus" 1
"39" "E.3" "Gryllodes_sigillatus" 1
"40" "E.3" "Drosophila_yakuba" 1
"41" "E.3" "Drosophila_hydei" 1
"42" "E.3" "Hermetia_illucens" 0
"43" "E.3" "Stick_insect" 0
"44" "E.3" "Cryptolemus_mantrouzieri" 0
"45" "E.3" "Dacnusa_sibirica" 0
"46" "E.3" "Drosophila_melanogaster" 0
"47" "E.3" "Aphidoletes_aphidimyza" 1
"48" "E.3" "Encarsia_formosa" 0
"49" "E.4" "Shelfordella_lateralis" 1
"50" "E.4" "Gryllus_bimaculatus" 1
"51" "E.4" "Gryllodes_sigillatus" 1
"52" "E.4" "Drosophila_yakuba" 1
"53" "E.4" "Drosophila_hydei" 1
"54" "E.4" "Hermetia_illucens" 0
"55" "E.4" "Stick_insect" 0
"56" "E.4" "Cryptolemus_mantrouzieri" 0
"57" "E.4" "Dacnusa_sibirica" 1
"58" "E.4" "Drosophila_melanogaster" 0
"59" "E.4" "Aphidoletes_aphidimyza" 1
"60" "E.4" "Encarsia_formosa" 1
"61" "E.5" "Shelfordella_lateralis" 1
"62" "E.5" "Gryllus_bimaculatus" 1
"63" "E.5" "Gryllodes_sigillatus" 1
"64" "E.5" "Drosophila_yakuba" 1
"65" "E.5" "Drosophila_hydei" 1
"66" "E.5" "Hermetia_illucens" 0
"67" "E.5" "Stick_insect" 0
"68" "E.5" "Cryptolemus_mantrouzieri" 1
"69" "E.5" "Dacnusa_sibirica" 0
"70" "E.5" "Drosophila_melanogaster" 1
"71" "E.5" "Aphidoletes_aphidimyza" 1
"72" "E.5" "Encarsia_formosa" 0
"73" "E.6" "Shelfordella_lateralis" 1
"74" "E.6" "Gryllus_bimaculatus" 1
"75" "E.6" "Gryllodes_sigillatus" 1
"76" "E.6" "Drosophila_yakuba" 1
"77" "E.6" "Drosophila_hydei" 1
"78" "E.6" "Hermetia_illucens" 1
"79" "E.6" "Stick_insect" 0
"80" "E.6" "Cryptolemus_mantrouzieri" 0
"81" "E.6" "Dacnusa_sibirica" 3
"82" "E.6" "Drosophila_melanogaster" 2
"83" "E.6" "Aphidoletes_aphidimyza" 0
"84" "E.6" "Encarsia_formosa" 0
"85" "E.7" "Shelfordella_lateralis" 1
"86" "E.7" "Gryllus_bimaculatus" 1
"87" "E.7" "Gryllodes_sigillatus" 1
"88" "E.7" "Drosophila_yakuba" 1
"89" "E.7" "Drosophila_hydei" 1
"90" "E.7" "Hermetia_illucens" 0
"91" "E.7" "Stick_insect" 0
"92" "E.7" "Cryptolemus_mantrouzieri" 0
"93" "E.7" "Dacnusa_sibirica" 2
"94" "E.7" "Drosophila_melanogaster" 2
"95" "E.7" "Aphidoletes_aphidimyza" 0
"96" "E.7" "Encarsia_formosa" 9
"97" "E.8" "Shelfordella_lateralis" 1
"98" "E.8" "Gryllus_bimaculatus" 1
"99" "E.8" "Gryllodes_sigillatus" 1
"100" "E.8" "Drosophila_yakuba" 1
"101" "E.8" "Drosophila_hydei" 1
"102" "E.8" "Hermetia_illucens" 0
"103" "E.8" "Stick_insect" 1
"104" "E.8" "Cryptolemus_mantrouzieri" 0
"105" "E.8" "Dacnusa_sibirica" 1
"106" "E.8" "Drosophila_melanogaster" 3
"107" "E.8" "Aphidoletes_aphidimyza" 1
"108" "E.8" "Encarsia_formosa" 0
"109" "E.9" "Shelfordella_lateralis" 1
"110" "E.9" "Gryllus_bimaculatus" 1
"111" "E.9" "Gryllodes_sigillatus" 1
"112" "E.9" "Drosophila_yakuba" 1
"113" "E.9" "Drosophila_hydei" 1
"114" "E.9" "Hermetia_illucens" 1
"115" "E.9" "Stick_insect" 0
"116" "E.9" "Cryptolemus_mantrouzieri" 1
"117" "E.9" "Dacnusa_sibirica" 5
"118" "E.9" "Drosophila_melanogaster" 0
"119" "E.9" "Aphidoletes_aphidimyza" 3
"120" "E.9" "Encarsia_formosa" 0
"121" "E.10" "Shelfordella_lateralis" 1
"122" "E.10" "Gryllus_bimaculatus" 1
"123" "E.10" "Gryllodes_sigillatus" 1
"124" "E.10" "Drosophila_yakuba" 1
"125" "E.10" "Drosophila_hydei" 1
"126" "E.10" "Hermetia_illucens" 1
"127" "E.10" "Stick_insect" 0
"128" "E.10" "Cryptolemus_mantrouzieri" 0
"129" "E.10" "Dacnusa_sibirica" 1
"130" "E.10" "Drosophila_melanogaster" 5
"131" "E.10" "Aphidoletes_aphidimyza" 1
"132" "E.10" "Encarsia_formosa" 0
"133" "E.11" "Shelfordella_lateralis" 1
"134" "E.11" "Gryllus_bimaculatus" 1
"135" "E.11" "Gryllodes_sigillatus" 1
"136" "E.11" "Drosophila_yakuba" 1
"137" "E.11" "Drosophila_hydei" 1
"138" "E.11" "Hermetia_illucens" 0
"139" "E.11" "Stick_insect" 1
"140" "E.11" "Cryptolemus_mantrouzieri" 2
"141" "E.11" "Dacnusa_sibirica" 0
"142" "E.11" "Drosophila_melanogaster" 5
"143" "E.11" "Aphidoletes_aphidimyza" 1
"144" "E.11" "Encarsia_formosa" 0
"145" "E.12" "Shelfordella_lateralis" 1
"146" "E.12" "Gryllus_bimaculatus" 1
"147" "E.12" "Gryllodes_sigillatus" 1
"148" "E.12" "Drosophila_yakuba" 1
"149" "E.12" "Drosophila_hydei" 1
"150" "E.12" "Hermetia_illucens" 0
"151" "E.12" "Stick_insect" 1
"152" "E.12" "Cryptolemus_mantrouzieri" 5
"153" "E.12" "Dacnusa_sibirica" 5
"154" "E.12" "Drosophila_melanogaster" 3
"155" "E.12" "Aphidoletes_aphidimyza" 2
"156" "E.12" "Encarsia_formosa" 0
"157" "E.13" "Shelfordella_lateralis" 1
"158" "E.13" "Gryllus_bimaculatus" 1
"159" "E.13" "Gryllodes_sigillatus" 1
"160" "E.13" "Drosophila_yakuba" 1
"161" "E.13" "Drosophila_hydei" 1
"162" "E.13" "Hermetia_illucens" 0
"163" "E.13" "Stick_insect" 0
"164" "E.13" "Cryptolemus_mantrouzieri" 3
"165" "E.13" "Dacnusa_sibirica" 5
"166" "E.13" "Drosophila_melanogaster" 3
"167" "E.13" "Aphidoletes_aphidimyza" 2
"168" "E.13" "Encarsia_formosa" 2
"169" "E.14" "Shelfordella_lateralis" 1
"170" "E.14" "Gryllus_bimaculatus" 1
"171" "E.14" "Gryllodes_sigillatus" 1
"172" "E.14" "Drosophila_yakuba" 1
"173" "E.14" "Drosophila_hydei" 1
"174" "E.14" "Hermetia_illucens" 2
"175" "E.14" "Stick_insect" 0
"176" "E.14" "Cryptolemus_mantrouzieri" 1
"177" "E.14" "Dacnusa_sibirica" 3
"178" "E.14" "Drosophila_melanogaster" 5
"179" "E.14" "Aphidoletes_aphidimyza" 1
"180" "E.14" "Encarsia_formosa" 0
"181" "E.15" "Shelfordella_lateralis" 1
"182" "E.15" "Gryllus_bimaculatus" 1
"183" "E.15" "Gryllodes_sigillatus" 1
"184" "E.15" "Drosophila_yakuba" 1
"185" "E.15" "Drosophila_hydei" 1
"186" "E.15" "Hermetia_illucens" 1
"187" "E.15" "Stick_insect" 1
"188" "E.15" "Cryptolemus_mantrouzieri" 2
"189" "E.15" "Dacnusa_sibirica" 5
"190" "E.15" "Drosophila_melanogaster" 2
"191" "E.15" "Aphidoletes_aphidimyza" 1
"192" "E.15" "Encarsia_formosa" 0
"193" "E.16" "Shelfordella_lateralis" 1
"194" "E.16" "Gryllus_bimaculatus" 1
"195" "E.16" "Gryllodes_sigillatus" 1
"196" "E.16" "Drosophila_yakuba" 1
"197" "E.16" "Drosophila_hydei" 1
"198" "E.16" "Hermetia_illucens" 0
"199" "E.16" "Stick_insect" 1
"200" "E.16" "Cryptolemus_mantrouzieri" 3
"201" "E.16" "Dacnusa_sibirica" 8
"202" "E.16" "Drosophila_melanogaster" 2
"203" "E.16" "Aphidoletes_aphidimyza" 3
"204" "E.16" "Encarsia_formosa" 1
