"Experiment","Community","Species","Specimens","Reads"
"1","E.hom.0.A","E.0","Shelfordella_lateralis",1,1272
"2","E.hom.0.A","E.0","Gryllus_bimaculatus",1,1370
"3","E.hom.0.A","E.0","Gryllodes_sigillatus",1,903
"4","E.hom.0.A","E.0","Drosophila_yakuba",1,386
"5","E.hom.0.A","E.0","Drosophila_hydei",1,15
"6","E.hom.0.A","E.0","Hermetia_illucens",0,0
"7","E.hom.0.A","E.0","Stick_insect",0,0
"8","E.hom.0.A","E.0","Cryptolaemus_montrouzieri",0,0
"9","E.hom.0.A","E.0","Dacnusa_sibirica",0,0
"10","E.hom.0.A","E.0","Drosophila_melanogaster",0,0
"11","E.hom.0.A","E.0","Aphidoletes_aphidimyza",0,0
"12","E.hom.0.A","E.0","Encarsia_formosa",0,0
"13","E.hom.0.B","E.0","Shelfordella_lateralis",1,1201
"14","E.hom.0.B","E.0","Gryllus_bimaculatus",1,1834
"15","E.hom.0.B","E.0","Gryllodes_sigillatus",1,2115
"16","E.hom.0.B","E.0","Drosophila_yakuba",1,1186
"17","E.hom.0.B","E.0","Drosophila_hydei",1,9
"18","E.hom.0.B","E.0","Hermetia_illucens",0,0
"19","E.hom.0.B","E.0","Stick_insect",0,0
"20","E.hom.0.B","E.0","Cryptolaemus_montrouzieri",0,0
"21","E.hom.0.B","E.0","Dacnusa_sibirica",0,0
"22","E.hom.0.B","E.0","Drosophila_melanogaster",0,0
"23","E.hom.0.B","E.0","Aphidoletes_aphidimyza",0,0
"24","E.hom.0.B","E.0","Encarsia_formosa",0,0
"25","E.hom.0.C","E.0","Shelfordella_lateralis",1,1439
"26","E.hom.0.C","E.0","Gryllus_bimaculatus",1,1683
"27","E.hom.0.C","E.0","Gryllodes_sigillatus",1,2168
"28","E.hom.0.C","E.0","Drosophila_yakuba",1,1628
"29","E.hom.0.C","E.0","Drosophila_hydei",1,37
"30","E.hom.0.C","E.0","Hermetia_illucens",0,0
"31","E.hom.0.C","E.0","Stick_insect",0,0
"32","E.hom.0.C","E.0","Cryptolaemus_montrouzieri",0,0
"33","E.hom.0.C","E.0","Dacnusa_sibirica",0,0
"34","E.hom.0.C","E.0","Drosophila_melanogaster",0,0
"35","E.hom.0.C","E.0","Aphidoletes_aphidimyza",0,0
"36","E.hom.0.C","E.0","Encarsia_formosa",0,0
"37","E.hom.0.D","E.0","Shelfordella_lateralis",1,1199
