"Experiment","Community","Species","Specimens","Reads"
"1","E.0.A","E.0","Shelfordella_lateralis",1,252
"2","E.0.A","E.0","Gryllus_bimaculatus",1,767
"3","E.0.A","E.0","Gryllodes_sigillatus",1,2031
"4","E.0.A","E.0","Drosophila_yakuba",1,95
"5","E.0.A","E.0","Drosophila_hydei",1,17
"6","E.0.A","E.0","Hermetia_illucens",0,0
"7","E.0.A","E.0","Stick_insect",0,0
"8","E.0.A","E.0","Cryptolaemus_montrouzieri",0,0
"9","E.0.A","E.0","Dacnusa_sibirica",0,0
"10","E.0.A","E.0","Drosophila_melanogaster",0,0
"11","E.0.A","E.0","Aphidoletes_aphidimyza",0,0
"12","E.0.A","E.0","Encarsia_formosa",0,0
"13","E.0.B","E.0","Shelfordella_lateralis",1,782
"14","E.0.B","E.0","Gryllus_bimaculatus",1,1258
"15","E.0.B","E.0","Gryllodes_sigillatus",1,829
"16","E.0.B","E.0","Drosophila_yakuba",1,1357
"17","E.0.B","E.0","Drosophila_hydei",1,15
"18","E.0.B","E.0","Hermetia_illucens",0,0
"19","E.0.B","E.0","Stick_insect",0,0
"20","E.0.B","E.0","Cryptolaemus_montrouzieri",0,0
"21","E.0.B","E.0","Dacnusa_sibirica",0,0
"22","E.0.B","E.0","Drosophila_melanogaster",0,0
"23","E.0.B","E.0","Aphidoletes_aphidimyza",0,0
"24","E.0.B","E.0","Encarsia_formosa",0,0
"25","E.0.C","E.0","Shelfordella_lateralis",1,827
"26","E.0.C","E.0","Gryllus_bimaculatus",1,1885
"27","E.0.C","E.0","Gryllodes_sigillatus",1,358
"28","E.0.C","E.0","Drosophila_yakuba",1,1175
"29","E.0.C","E.0","Drosophila_hydei",1,14
"30","E.0.C","E.0","Hermetia_illucens",0,0
"31","E.0.C","E.0","Stick_insect",0,0
"32","E.0.C","E.0","Cryptolaemus_montrouzieri",0,0
"33","E.0.C","E.0","Dacnusa_sibirica",0,0
"34","E.0.C","E.0","Drosophila_melanogaster",0,0
"35","E.0.C","E.0","Aphidoletes_aphidimyza",0,0
"36","E.0.C","E.0","Encarsia_formosa",0,0
"37","E.0.D","E.0","Shelfordella_lateralis",1,929
"38","E.0.D","E.0","Gryllus_bimaculatus",1,1457
"39","E.0.D","E.0","Gryllodes_sigillatus",1,339
"40","E.0.D","E.0","Drosophila_yakuba",1,213
"41","E.0.D","E.0","Drosophila_hydei",1,37
"42","E.0.D","E.0","Hermetia_illucens",0,0
"43","E.0.D","E.0","Stick_insect",0,0
"44","E.0.D","E.0","Cryptolaemus_montrouzieri",0,0
"45","E.0.D","E.0","Dacnusa_sibirica",0,0
"46","E.0.D","E.0","Drosophila_melanogaster",0,0
"47","E.0.D","E.0","Aphidoletes_aphidimyza",0,0
"48","E.0.D","E.0","Encarsia_formosa",0,0
"49","E.0.F","E.0","Shelfordella_lateralis",1,2333
"50","E.0.F","E.0","Gryllus_bimaculatus",1,2642
"51","E.0.F","E.0","Gryllodes_sigillatus",1,1241
"52","E.0.F","E.0","Drosophila_yakuba",1,103
"53","E.0.F","E.0","Drosophila_hydei",1,33
"54","E.0.F","E.0","Hermetia_illucens",0,0
"55","E.0.F","E.0","Stick_insect",0,0
"56","E.0.F","E.0","Cryptolaemus_montrouzieri",0,0
"57","E.0.F","E.0","Dacnusa_sibirica",0,0
"58","E.0.F","E.0","Drosophila_melanogaster",0,0
"59","E.0.F","E.0","Aphidoletes_aphidimyza",0,0
"60","E.0.F","E.0","Encarsia_formosa",0,0
"61","E.0.G","E.0","Shelfordella_lateralis",1,1598
"62","E.0.G","E.0","Gryllus_bimaculatus",1,726
"63","E.0.G","E.0","Gryllodes_sigillatus",1,1367
"64","E.0.G","E.0","Drosophila_yakuba",1,152
"65","E.0.G","E.0","Drosophila_hydei",1,29
"66","E.0.G","E.0","Hermetia_illucens",0,0
"67","E.0.G","E.0","Stick_insect",0,0
"68","E.0.G","E.0","Cryptolaemus_montrouzieri",0,0
"69","E.0.G","E.0","Dacnusa_sibirica",0,0
"70","E.0.G","E.0","Drosophila_melanogaster",0,0
"71","E.0.G","E.0","Aphidoletes_aphidimyza",0,0
"72","E.0.G","E.0","Encarsia_formosa",0,0
"73","E.0.H","E.0","Shelfordella_lateralis",1,983
"74","E.0.H","E.0","Gryllus_bimaculatus",1,1712
"75","E.0.H","E.0","Gryllodes_sigillatus",1,757
"76","E.0.H","E.0","Drosophila_yakuba",1,714
"77","E.0.H","E.0","Drosophila_hydei",1,55
"78","E.0.H","E.0","Hermetia_illucens",0,0
"79","E.0.H","E.0","Stick_insect",0,0
"80","E.0.H","E.0","Cryptolaemus_montrouzieri",0,0
"81","E.0.H","E.0","Dacnusa_sibirica",0,0
"82","E.0.H","E.0","Drosophila_melanogaster",0,0
"83","E.0.H","E.0","Aphidoletes_aphidimyza",0,0
"84","E.0.H","E.0","Encarsia_formosa",0,0
"85","E.0.I","E.0","Shelfordella_lateralis",1,1360
"86","E.0.I","E.0","Gryllus_bimaculatus",1,1217
"87","E.0.I","E.0","Gryllodes_sigillatus",1,792
"88","E.0.I","E.0","Drosophila_yakuba",1,833
"89","E.0.I","E.0","Drosophila_hydei",1,260
"90","E.0.I","E.0","Hermetia_illucens",0,0
"91","E.0.I","E.0","Stick_insect",0,0
"92","E.0.I","E.0","Cryptolaemus_montrouzieri",0,0
"93","E.0.I","E.0","Dacnusa_sibirica",0,0
"94","E.0.I","E.0","Drosophila_melanogaster",0,0
"95","E.0.I","E.0","Aphidoletes_aphidimyza",0,0
"96","E.0.I","E.0","Encarsia_formosa",0,0
"97","E.0.J","E.0","Shelfordella_lateralis",1,604
"98","E.0.J","E.0","Gryllus_bimaculatus",1,1103
"99","E.0.J","E.0","Gryllodes_sigillatus",1,1402
"100","E.0.J","E.0","Drosophila_yakuba",1,371
"101","E.0.J","E.0","Drosophila_hydei",1,11
"102","E.0.J","E.0","Hermetia_illucens",0,0
"103","E.0.J","E.0","Stick_insect",0,0
"104","E.0.J","E.0","Cryptolaemus_montrouzieri",0,0
"105","E.0.J","E.0","Dacnusa_sibirica",0,0
"106","E.0.J","E.0","Drosophila_melanogaster",0,0
"107","E.0.J","E.0","Aphidoletes_aphidimyza",0,0
"108","E.0.J","E.0","Encarsia_formosa",0,0
"109","E.1.A","E.1","Shelfordella_lateralis",1,898
"110","E.1.A","E.1","Gryllus_bimaculatus",1,380
"111","E.1.A","E.1","Gryllodes_sigillatus",1,200
"112","E.1.A","E.1","Drosophila_yakuba",1,982
"113","E.1.A","E.1","Drosophila_hydei",1,16
"114","E.1.A","E.1","Hermetia_illucens",0,0
"115","E.1.A","E.1","Stick_insect",0,0
"116","E.1.A","E.1","Cryptolaemus_montrouzieri",1,135
"117","E.1.A","E.1","Dacnusa_sibirica",0,0
"118","E.1.A","E.1","Drosophila_melanogaster",0,0
"119","E.1.A","E.1","Aphidoletes_aphidimyza",0,0
"120","E.1.A","E.1","Encarsia_formosa",0,0
"121","E.1.B","E.1","Shelfordella_lateralis",1,3079
"122","E.1.B","E.1","Gryllus_bimaculatus",1,2785
